"","gender","Age","Attitude","Points","stra","surf","deep"
"1","F",53,37,25,3.375,2.58333333333333,3.58333333333333
"2","M",55,31,12,2.75,3.16666666666667,2.91666666666667
"3","F",49,25,24,3.625,2.25,3.5
"4","M",53,35,10,3.125,2.25,3.5
"5","M",49,37,22,3.625,2.83333333333333,3.66666666666667
"6","F",38,38,21,3.625,2.41666666666667,4.75
"7","M",50,35,21,2.25,1.91666666666667,3.83333333333333
"8","F",37,29,31,4,2.83333333333333,3.25
"9","M",37,38,24,4.25,2.16666666666667,4.33333333333333
"10","F",42,21,26,3.5,3,4
"11","M",37,39,31,3.625,2.66666666666667,3.58333333333333
"12","F",34,38,31,4.75,2.41666666666667,3.83333333333333
"13","F",34,24,23,3.625,2.25,4.25
"14","F",34,30,25,3.5,2.75,3.33333333333333
"15","M",35,26,21,1.75,2.33333333333333,4.16666666666667
"16","F",33,41,31,3.875,2.33333333333333,3.66666666666667
"17","F",32,26,20,1.375,2.91666666666667,4.08333333333333
"18","F",44,26,22,3.25,2.5,3.5
"19","M",29,17,9,3,3.75,4.08333333333333
"20","F",30,27,24,3.75,2.75,4
"21","M",27,39,28,2.625,2.33333333333333,3.91666666666667
"22","M",29,34,30,2.375,2.41666666666667,4
"23","F",31,27,24,3.625,3,4
"24","F",37,23,9,2.75,2.41666666666667,3.66666666666667
"25","F",26,37,26,1.75,2.83333333333333,3.66666666666667
"26","F",26,44,32,3.25,3.16666666666667,4.41666666666667
"27","M",30,41,32,4,3,3.91666666666667
"28","F",33,37,33,3.625,2,3.75
"29","F",33,25,29,2.875,3.5,3.25
"30","M",28,30,30,3,3.75,3.58333333333333
"31","M",26,34,19,1.625,2.5,4.91666666666667
"32","F",27,32,23,3.25,2.08333333333333,3.58333333333333
"33","F",25,20,19,3.5,2.41666666666667,2.91666666666667
"34","F",31,24,12,3,2.58333333333333,3.66666666666667
"35","M",20,42,10,3.25,1.58333333333333,4.5
"36","F",39,16,11,1.875,2.83333333333333,4.08333333333333
"37","M",38,31,20,4.375,1.83333333333333,3.83333333333333
"38","M",24,38,26,3.625,2.41666666666667,3.25
"39","M",26,38,31,2.5,3.25,2.33333333333333
"40","M",25,33,20,1.25,3.41666666666667,3.33333333333333
"41","F",30,17,23,4,3.41666666666667,4.08333333333333
"42","F",25,25,12,3,3.16666666666667,2.91666666666667
"43","M",30,32,24,2.5,3.5,3.33333333333333
"44","F",48,35,17,4.875,2.66666666666667,3.83333333333333
"45","F",24,32,29,5,2.41666666666667,3.66666666666667
"46","F",40,42,23,4.375,3.58333333333333,4.66666666666667
"47","M",25,31,28,3.25,2.08333333333333,3.75
"48","F",23,39,31,4,3.75,3.41666666666667
"49","F",25,19,23,3.125,2.91666666666667,4.16666666666667
"50","F",23,21,25,2.5,2.91666666666667,2.91666666666667
"51","M",27,25,18,3.125,2.41666666666667,4.16666666666667
"52","M",25,32,19,3.25,3,3.58333333333333
"53","M",23,32,22,2.125,3.41666666666667,2.83333333333333
"54","F",23,26,25,2.75,2.91666666666667,4
"55","F",23,23,21,2.375,3.25,2.91666666666667
"56","F",45,38,9,3.125,3.25,3
"57","F",22,28,28,4,2.33333333333333,4.08333333333333
"58","F",23,33,25,4,3.25,2.91666666666667
"59","M",21,48,29,2.25,2.5,3.5
"60","M",21,40,33,3.25,1.75,4.33333333333333
"61","F",21,40,33,3.625,2.25,4.25
"62","F",21,47,25,3.625,2.08333333333333,3.41666666666667
"63","F",26,23,18,2.5,2.83333333333333,3.08333333333333
"64","F",25,31,22,1.875,2.83333333333333,4.58333333333333
"65","F",26,27,17,2,2.41666666666667,3.41666666666667
"66","M",21,41,25,1.875,2.25,3.41666666666667
"67","F",23,34,28,4,2.83333333333333,3.41666666666667
"68","F",22,25,22,2.875,2.25,3.58333333333333
"69","F",22,21,26,3.875,1.83333333333333,1.58333333333333
"70","F",22,14,11,2.5,2.91666666666667,3.33333333333333
"71","F",23,19,29,2.75,2.91666666666667,4.33333333333333
"72","M",22,37,22,4.5,2.08333333333333,4.41666666666667
"73","M",23,32,21,3.375,2.33333333333333,4.83333333333333
"74","M",24,28,28,2.625,2.41666666666667,3.08333333333333
"75","F",22,41,33,4.125,2.75,3
"76","F",23,25,16,2.625,3.25,4.08333333333333
"77","M",22,28,31,2.25,1.75,4.08333333333333
"78","M",20,38,22,2.75,2.58333333333333,3.75
"79","M",22,31,31,3,3.33333333333333,3.08333333333333
"80","M",21,35,23,1.625,2.83333333333333,4.75
"81","F",22,36,26,1.875,2.5,4.25
"82","F",23,26,12,3.375,2.41666666666667,4.16666666666667
"83","M",21,44,26,3.75,2.41666666666667,4.41666666666667
"84","M",22,45,31,2.125,2.58333333333333,3.83333333333333
"85","M",29,32,19,2.375,3,3.33333333333333
"86","F",29,39,30,2.75,2,3.16666666666667
"87","F",21,25,12,3.125,3.41666666666667,3.16666666666667
"88","M",28,33,17,3.5,2.83333333333333,3.83333333333333
"89","F",21,33,18,2.625,2.25,4.25
"90","F",30,30,19,3.375,2.75,3.83333333333333
"91","F",21,29,21,2.25,3.91666666666667,3.66666666666667
"92","M",23,33,24,3,2.33333333333333,3.83333333333333
"93","F",21,33,28,4,2.75,3.83333333333333
"94","F",21,35,17,3.5,2.75,3.83333333333333
"95","F",20,36,18,2.625,2.91666666666667,3.66666666666667
"96","M",22,37,17,2.5,2.08333333333333,4.33333333333333
"97","M",21,42,23,3.75,3.66666666666667,3.75
"98","M",21,32,26,3.625,2.83333333333333,4.16666666666667
"99","F",20,50,28,4.125,3.41666666666667,4
"100","M",22,47,31,4.375,1.58333333333333,4
"101","F",20,36,27,2.625,2.91666666666667,4.58333333333333
"102","F",20,36,25,4,3,3.66666666666667
"103","M",24,29,23,2.75,2.91666666666667,3.66666666666667
"104","F",20,35,21,2.75,2.66666666666667,3.83333333333333
"105","F",19,40,27,1.375,3,2.58333333333333
"106","F",21,35,28,2.25,2.75,3.5
"107","F",21,32,23,3.625,3.08333333333333,3.08333333333333
"108","F",22,26,21,3.75,2.5,4.25
"109","F",25,20,25,4,2.33333333333333,3.16666666666667
"110","F",21,27,11,3.125,3,3.08333333333333
"111","F",22,32,19,3.25,3,4.16666666666667
"112","F",25,33,24,2.125,4,2.25
"113","F",20,39,28,2.875,3.25,3.33333333333333
"114","M",24,33,21,1.5,3.5,3.08333333333333
"115","F",20,30,24,2.5,3.5,2.75
"116","M",21,37,24,3.25,3.83333333333333,3.25
"117","F",20,25,20,3.625,2.91666666666667,4
"118","F",20,29,19,3.875,2.16666666666667,3.58333333333333
"119","M",31,39,30,3.875,1.66666666666667,4.08333333333333
"120","F",20,36,22,2.375,2.08333333333333,4.25
"121","F",22,29,16,3,2.83333333333333,3.41666666666667
"122","F",22,21,16,3.375,3.41666666666667,3.08333333333333
"123","M",21,31,19,2.75,3.33333333333333,3.5
"124","M",22,40,30,4.5,2.58333333333333,3.66666666666667
"125","F",21,31,23,2.625,2.83333333333333,4.25
"126","F",21,23,19,2.75,3.33333333333333,4.25
"127","F",21,28,18,3.25,3,3.83333333333333
"128","F",21,37,28,4.125,2.58333333333333,4.41666666666667
"129","F",20,26,21,3.375,2.41666666666667,3.5
"130","F",21,24,19,2.75,3.58333333333333,3.58333333333333
"131","F",25,30,27,4.125,2.08333333333333,3.66666666666667
"132","M",21,28,24,3.25,4.33333333333333,2.08333333333333
"133","F",24,29,21,2.875,2.66666666666667,4.25
"134","F",20,24,20,2.875,3,3.58333333333333
"135","M",21,31,28,2.375,2.66666666666667,4
"136","F",20,19,12,3.875,2.16666666666667,3.33333333333333
"137","F",20,20,21,2.125,2.66666666666667,3.5
"138","F",18,38,28,4,2.25,3.16666666666667
"139","F",21,34,31,3.25,2.66666666666667,3.58333333333333
"140","F",19,37,18,2.625,3.33333333333333,3.41666666666667
"141","F",21,29,25,2.75,3.5,4.25
"142","F",20,23,19,4,2.75,3.25
"143","M",21,41,21,3,2,4.41666666666667
"144","F",20,27,16,3.375,2.83333333333333,3.25
"145","F",21,35,7,3.875,3.5,3.91666666666667
"146","F",20,34,21,3.25,2.5,3.58333333333333
"147","F",18,32,17,3.375,3.16666666666667,4.5
"148","M",22,33,22,4.125,3.08333333333333,3.58333333333333
"149","F",22,33,18,3.5,2.91666666666667,3.66666666666667
"150","M",24,35,25,2,3.16666666666667,2.58333333333333
"151","F",19,32,24,3.625,2.5,4.16666666666667
"152","F",20,31,23,3.375,3.83333333333333,3.25
"153","F",20,28,23,2.125,2.25,4.33333333333333
"154","F",17,17,26,4.625,3.41666666666667,3.91666666666667
"155","M",19,19,12,2.5,3.75,2.66666666666667
"156","F",20,35,32,2.875,3,3.08333333333333
"157","F",20,24,22,2.75,2.58333333333333,3.75
"158","F",20,21,20,4,3.33333333333333,4.16666666666667
"159","F",20,29,21,2.375,2.83333333333333,4.16666666666667
"160","F",19,19,23,3.875,3,3.25
"161","F",19,20,20,3.375,2.83333333333333,4.08333333333333
"162","F",22,42,28,1.75,3.16666666666667,2.91666666666667
"163","M",35,41,31,3,2.75,3.83333333333333
"164","F",18,37,18,2.625,3.41666666666667,3.16666666666667
"165","F",19,36,30,2.625,3,3.41666666666667
"166","M",21,18,19,3.375,2.66666666666667,4.08333333333333
